city_code,year_roc,item,cpi_raw,yoy_str,year,month,yoy_pct,date
63000,70年,1月,45.34,--,1981,1,,1981-01-01
63000,70年,2月,46.72,--,1981,2,,1981-02-01
63000,70年,3月,47.42,--,1981,3,,1981-03-01
63000,70年,4月,47.85,--,1981,4,,1981-04-01
63000,70年,5月,47.71,--,1981,5,,1981-05-01
63000,70年,6月,49.31,--,1981,6,,1981-06-01
63000,70年,7月,49.21,--,1981,7,,1981-07-01
63000,70年,8月,49.95,--,1981,8,,1981-08-01
63000,70年,9月,50.72,--,1981,9,,1981-09-01
63000,70年,10月,50.22,--,1981,10,,1981-10-01
63000,70年,11月,49.41,--,1981,11,,1981-11-01
63000,70年,12月,49.41,--,1981,12,,1981-12-01
63000,71年,1月,49.57,9.32,1982,1,9.32,1982-01-01
63000,71年,2月,49.17,5.26,1982,2,5.26,1982-02-01
63000,71年,3月,49.36,4.08,1982,3,4.08,1982-03-01
63000,71年,4月,49.51,3.48,1982,4,3.48,1982-04-01
63000,71年,5月,50.09,4.99,1982,5,4.99,1982-05-01
63000,71年,6月,50.35,2.11,1982,6,2.11,1982-06-01
63000,71年,7月,50.33,2.27,1982,7,2.27,1982-07-01
63000,71年,8月,52.0,4.09,1982,8,4.09,1982-08-01
63000,71年,9月,51.42,1.37,1982,9,1.37,1982-09-01
63000,71年,10月,51.18,1.9,1982,10,1.9,1982-10-01
63000,71年,11月,50.93,3.06,1982,11,3.06,1982-11-01
63000,71年,12月,51.35,3.92,1982,12,3.92,1982-12-01
63000,72年,1月,51.23,3.34,1983,1,3.34,1983-01-01
63000,72年,2月,51.96,5.66,1983,2,5.66,1983-02-01
63000,72年,3月,52.37,6.11,1983,3,6.11,1983-03-01
63000,72年,4月,52.53,6.09,1983,4,6.09,1983-04-01
63000,72年,5月,52.26,4.33,1983,5,4.33,1983-05-01
63000,72年,6月,52.83,4.93,1983,6,4.93,1983-06-01
63000,72年,7月,52.22,3.75,1983,7,3.75,1983-07-01
63000,72年,8月,52.11,0.22,1983,8,0.22,1983-08-01
63000,72年,9月,52.16,1.44,1983,9,1.44,1983-09-01
63000,72年,10月,52.16,1.92,1983,10,1.92,1983-10-01
63000,72年,11月,51.38,0.89,1983,11,0.89,1983-11-01
63000,72年,12月,50.63,-1.41,1983,12,-1.41,1983-12-01
63000,73年,1月,50.65,-1.13,1984,1,-1.13,1984-01-01
63000,73年,2月,51.41,-1.06,1984,2,-1.06,1984-02-01
63000,73年,3月,51.38,-1.89,1984,3,-1.89,1984-03-01
63000,73年,4月,51.42,-2.11,1984,4,-2.11,1984-04-01
63000,73年,5月,52.16,-0.18,1984,5,-0.18,1984-05-01
63000,73年,6月,52.22,-1.17,1984,6,-1.17,1984-06-01
63000,73年,7月,51.79,-0.81,1984,7,-0.81,1984-07-01
63000,73年,8月,52.04,-0.13,1984,8,-0.13,1984-08-01
63000,73年,9月,52.22,0.11,1984,9,0.11,1984-09-01
63000,73年,10月,52.19,0.06,1984,10,0.06,1984-10-01
63000,73年,11月,51.87,0.96,1984,11,0.96,1984-11-01
63000,73年,12月,51.51,1.75,1984,12,1.75,1984-12-01
63000,74年,1月,51.77,2.22,1985,1,2.22,1985-01-01
63000,74年,2月,52.23,1.59,1985,2,1.59,1985-02-01
63000,74年,3月,52.13,1.46,1985,3,1.46,1985-03-01
63000,74年,4月,51.86,0.86,1985,4,0.86,1985-04-01
63000,74年,5月,51.97,-0.37,1985,5,-0.37,1985-05-01
63000,74年,6月,51.68,-1.03,1985,6,-1.03,1985-06-01
63000,74年,7月,51.89,0.19,1985,7,0.19,1985-07-01
63000,74年,8月,51.38,-1.28,1985,8,-1.28,1985-08-01
63000,74年,9月,52.26,0.07,1985,9,0.07,1985-09-01
63000,74年,10月,52.72,1.01,1985,10,1.01,1985-10-01
63000,74年,11月,51.85,-0.04,1985,11,-0.04,1985-11-01
63000,74年,12月,51.32,-0.37,1985,12,-0.37,1985-12-01
63000,75年,1月,52.03,0.5,1986,1,0.5,1986-01-01
63000,75年,2月,52.3,0.15,1986,2,0.15,1986-02-01
63000,75年,3月,52.3,0.33,1986,3,0.33,1986-03-01
63000,75年,4月,52.22,0.69,1986,4,0.69,1986-04-01
63000,75年,5月,52.12,0.3,1986,5,0.3,1986-05-01
63000,75年,6月,52.08,0.78,1986,6,0.78,1986-06-01
63000,75年,7月,52.06,0.33,1986,7,0.33,1986-07-01
63000,75年,8月,52.45,2.08,1986,8,2.08,1986-08-01
63000,75年,9月,53.43,2.25,1986,9,2.25,1986-09-01
63000,75年,10月,53.42,1.33,1986,10,1.33,1986-10-01
63000,75年,11月,52.47,1.19,1986,11,1.19,1986-11-01
63000,75年,12月,52.03,1.39,1986,12,1.39,1986-12-01
63000,76年,1月,51.94,-0.19,1987,1,-0.19,1987-01-01
63000,76年,2月,51.82,-0.92,1987,2,-0.92,1987-02-01
63000,76年,3月,51.46,-1.62,1987,3,-1.62,1987-03-01
63000,76年,4月,51.69,-1.01,1987,4,-1.01,1987-04-01
63000,76年,5月,51.69,-0.83,1987,5,-0.83,1987-05-01
63000,76年,6月,51.62,-0.89,1987,6,-0.89,1987-06-01
63000,76年,7月,52.08,0.04,1987,7,0.04,1987-07-01
63000,76年,8月,52.78,0.62,1987,8,0.62,1987-08-01
63000,76年,9月,53.19,-0.45,1987,9,-0.45,1987-09-01
63000,76年,10月,52.61,-1.51,1987,10,-1.51,1987-10-01
63000,76年,11月,52.58,0.22,1987,11,0.22,1987-11-01
63000,76年,12月,52.97,1.8,1987,12,1.8,1987-12-01
63000,77年,1月,52.08,0.28,1988,1,0.28,1988-01-01
63000,77年,2月,51.86,0.07,1988,2,0.07,1988-02-01
63000,77年,3月,51.73,0.52,1988,3,0.52,1988-03-01
63000,77年,4月,51.69,0,1988,4,0.0,1988-04-01
63000,77年,5月,52.28,1.16,1988,5,1.16,1988-05-01
63000,77年,6月,52.72,2.13,1988,6,2.13,1988-06-01
63000,77年,7月,52.4,0.61,1988,7,0.61,1988-07-01
63000,77年,8月,53.08,0.58,1988,8,0.58,1988-08-01
63000,77年,9月,53.08,-0.2,1988,9,-0.2,1988-09-01
63000,77年,10月,53.68,2.03,1988,10,2.03,1988-10-01
63000,77年,11月,53.36,1.48,1988,11,1.48,1988-11-01
63000,77年,12月,53.56,1.11,1988,12,1.11,1988-12-01
63000,78年,1月,54.02,3.72,1989,1,3.72,1989-01-01
63000,78年,2月,54.12,4.36,1989,2,4.36,1989-02-01
63000,78年,3月,54.75,5.85,1989,3,5.85,1989-03-01
63000,78年,4月,54.9,6.22,1989,4,6.22,1989-04-01
63000,78年,5月,55.29,5.75,1989,5,5.75,1989-05-01
63000,78年,6月,55.53,5.33,1989,6,5.33,1989-06-01
63000,78年,7月,55.52,5.95,1989,7,5.95,1989-07-01
63000,78年,8月,56.13,5.73,1989,8,5.73,1989-08-01
63000,78年,9月,57.64,8.58,1989,9,8.58,1989-09-01
63000,78年,10月,58.14,8.31,1989,10,8.31,1989-10-01
63000,78年,11月,56.99,6.8,1989,11,6.8,1989-11-01
63000,78年,12月,56.67,5.81,1989,12,5.81,1989-12-01
63000,79年,1月,57.5,6.44,1990,1,6.44,1990-01-01
63000,79年,2月,57.32,5.91,1990,2,5.91,1990-02-01
63000,79年,3月,57.4,4.84,1990,3,4.84,1990-03-01
63000,79年,4月,58.06,5.75,1990,4,5.75,1990-04-01
63000,79年,5月,58.7,6.17,1990,5,6.17,1990-05-01
63000,79年,6月,58.52,5.38,1990,6,5.38,1990-06-01
63000,79年,7月,58.97,6.21,1990,7,6.21,1990-07-01
63000,79年,8月,60.28,7.4,1990,8,7.4,1990-08-01
63000,79年,9月,62.07,7.69,1990,9,7.69,1990-09-01
63000,79年,10月,61.15,5.18,1990,10,5.18,1990-10-01
63000,79年,11月,60.44,6.05,1990,11,6.05,1990-11-01
63000,79年,12月,60.26,6.34,1990,12,6.34,1990-12-01
63000,80年,1月,60.74,5.64,1991,1,5.64,1991-01-01
63000,80年,2月,61.34,7.01,1991,2,7.01,1991-02-01
63000,80年,3月,61.08,6.41,1991,3,6.41,1991-03-01
63000,80年,4月,62.18,7.08,1991,4,7.08,1991-04-01
63000,80年,5月,62.26,6.07,1991,5,6.07,1991-05-01
63000,80年,6月,62.43,6.68,1991,6,6.68,1991-06-01
63000,80年,7月,62.84,6.57,1991,7,6.57,1991-07-01
63000,80年,8月,62.54,3.75,1991,8,3.75,1991-08-01
63000,80年,9月,62.81,1.19,1991,9,1.19,1991-09-01
63000,80年,10月,64.6,5.64,1991,10,5.64,1991-10-01
63000,80年,11月,64.48,6.68,1991,11,6.68,1991-11-01
63000,80年,12月,63.78,5.85,1991,12,5.85,1991-12-01
63000,81年,1月,64.45,6.1,1992,1,6.1,1992-01-01
63000,81年,2月,65.26,6.39,1992,2,6.39,1992-02-01
63000,81年,3月,65.39,7.06,1992,3,7.06,1992-03-01
63000,81年,4月,66.93,7.65,1992,4,7.65,1992-04-01
63000,81年,5月,66.75,7.21,1992,5,7.21,1992-05-01
63000,81年,6月,66.65,6.77,1992,6,6.77,1992-06-01
63000,81年,7月,66.49,5.81,1992,7,5.81,1992-07-01
63000,81年,8月,66.18,5.82,1992,8,5.82,1992-08-01
63000,81年,9月,67.78,7.91,1992,9,7.91,1992-09-01
63000,81年,10月,68.29,5.71,1992,10,5.71,1992-10-01
63000,81年,11月,67.49,4.68,1992,11,4.68,1992-11-01
63000,81年,12月,67.2,5.36,1992,12,5.36,1992-12-01
63000,82年,1月,67.93,5.39,1993,1,5.39,1993-01-01
63000,82年,2月,67.56,3.53,1993,2,3.53,1993-02-01
