縣市別代碼,年別,項目,原始值[統計數值],年增率[%]
63000,70年,1月,45.34,--
63000,70年,2月,46.72,--
63000,70年,3月,47.42,--
63000,70年,4月,47.85,--
63000,70年,5月,47.71,--
63000,70年,6月,49.31,--
63000,70年,7月,49.21,--
63000,70年,8月,49.95,--
63000,70年,9月,50.72,--
63000,70年,10月,50.22,--
63000,70年,11月,49.41,--
63000,70年,12月,49.41,--
63000,70年,年指數,48.61,--
63000,71年,1月,49.57,9.32
63000,71年,2月,49.17,5.26
63000,71年,3月,49.36,4.08
63000,71年,4月,49.51,3.48
63000,71年,5月,50.09,4.99
63000,71年,6月,50.35,2.11
63000,71年,7月,50.33,2.27
63000,71年,8月,52,4.09
63000,71年,9月,51.42,1.37
63000,71年,10月,51.18,1.9
63000,71年,11月,50.93,3.06
63000,71年,12月,51.35,3.92
63000,71年,年指數,50.44,3.76
63000,72年,1月,51.23,3.34
63000,72年,2月,51.96,5.66
63000,72年,3月,52.37,6.11
63000,72年,4月,52.53,6.09
63000,72年,5月,52.26,4.33
63000,72年,6月,52.83,4.93
63000,72年,7月,52.22,3.75
63000,72年,8月,52.11,0.22
63000,72年,9月,52.16,1.44
63000,72年,10月,52.16,1.92
63000,72年,11月,51.38,0.89
63000,72年,12月,50.63,-1.41
63000,72年,年指數,51.99,3.07
63000,73年,1月,50.65,-1.13
63000,73年,2月,51.41,-1.06
63000,73年,3月,51.38,-1.89
63000,73年,4月,51.42,-2.11
63000,73年,5月,52.16,-0.18
63000,73年,6月,52.22,-1.17
63000,73年,7月,51.79,-0.81
63000,73年,8月,52.04,-0.13
63000,73年,9月,52.22,0.11
63000,73年,10月,52.19,0.06
63000,73年,11月,51.87,0.96
63000,73年,12月,51.51,1.75
63000,73年,年指數,51.74,-0.48
63000,74年,1月,51.77,2.22
63000,74年,2月,52.23,1.59
63000,74年,3月,52.13,1.46
63000,74年,4月,51.86,0.86
63000,74年,5月,51.97,-0.37
63000,74年,6月,51.68,-1.03
63000,74年,7月,51.89,0.19
63000,74年,8月,51.38,-1.28
63000,74年,9月,52.26,0.07
63000,74年,10月,52.72,1.01
63000,74年,11月,51.85,-0.04
63000,74年,12月,51.32,-0.37
63000,74年,年指數,51.92,0.35
63000,75年,1月,52.03,0.5
63000,75年,2月,52.3,0.15
63000,75年,3月,52.3,0.33
63000,75年,4月,52.22,0.69
63000,75年,5月,52.12,0.3
63000,75年,6月,52.08,0.78
63000,75年,7月,52.06,0.33
63000,75年,8月,52.45,2.08
63000,75年,9月,53.43,2.25
63000,75年,10月,53.42,1.33
