各種發電方式之發電成本,"111年
審定決算(元/度)",112年 審定決算(元/度),113年 審定決算(元/度)
自發電力,,,
    火力發電,3.5,3.52,2.87
          燃  油,7.28,7.5,7.29
          燃  煤,3.57,3.43,2.5
          燃  氣,3.29,3.44,2.94
    核能發電,1.49,1.38,1.41
    抽蓄發電,4.44,5.35,4.64
    再生能源發電,1.72,2.53,2.45
          慣常水力,1.2,1.83,1.75
          風力發電,3.42,4.48,4.4
          太陽光電,3.36,4.13,3.94
          地熱,-,4.94,9.23
    自發電力小計,3.21,3.3,2.78
購入電力,,,
    汽電共生,3.55,3.07,2.97
    民營電廠,3.79,4.17,3.43
          燃  煤,3.69,4.13,3.27
          燃  氣,3.87,4.19,3.52
    再生能源,4.75,5.2,5.4
          慣常水力,1.57,1.83,2.13
          風力發電,5.92,6.7,6.59
          太陽光電,4.86,4.88,4.87
　　 地　　熱,6.15,6.32,6.59
　 　其他再生能源,4.9,4.21,4.2
    購入電力小計,3.96,4.29,3.94
平均發購電成本,3.39,3.59,3.13
