年度,用途別,售電量
2004,住宅售電量,37171201182
2004,工業售電量,85934456691
2004,商業售電量,28278599761
2004,其他售電量,16093512754
2005,住宅售電量,39757982523
2005,工業售電量,88740607397
2005,商業售電量,30208568893
2005,其他售電量,16586211689
2006,住宅售電量,39817108502
2006,工業售電量,93703172266
2006,商業售電量,31658510517
2006,其他售電量,16414512325
2007,住宅售電量,40408929534
2007,工業售電量,97792644483
2007,商業售電量,31975082094
2007,其他售電量,16898015914
2008,住宅售電量,39954909779
2008,工業售電量,98525961182
2008,商業售電量,31560053788
2008,其他售電量,16890552062
2009,住宅售電量,40359262201
2009,工業售電量,91698456418
2009,商業售電量,30318194727
2009,其他售電量,16862759804
2010,住宅售電量,40680440772
2010,工業售電量,103988806672
2010,商業售電量,31447369052
2010,其他售電量,17196834310
2011,住宅售電量,41650454010
2011,工業售電量,107940674997
2011,商業售電量,31677089733
2011,其他售電量,17368881804
2012,住宅售電量,40462296000
2012,工業售電量,108980362480
2012,商業售電量,31624782925
2012,其他售電量,17323455896
2013,住宅售電量,40880522745
2013,工業售電量,112035738548
2013,商業售電量,31524740423
2013,其他售電量,17503874322
2014,住宅售電量,42505970811
2014,工業售電量,113938826566
2014,商業售電量,32064094508
2014,其他售電量,17447063022
2015,住宅售電量,42196646101
2015,工業售電量,114241891561
2015,商業售電量,32510959257
2015,其他售電量,17541768950
2016,住宅售電量,44582969384
2016,工業售電量,117025892857
2016,商業售電量,33207966742
2016,其他售電量,17714440903
2017,住宅售電量,44810403478
2017,工業售電量,121238872521
2017,商業售電量,33561460484
2017,其他售電量,17602749473
2018,住宅售電量,44197574235
2018,工業售電量,123696027098
2018,商業售電量,33873910145
2018,其他售電量,17340493504
2019,住宅售電量,44227107158
2019,工業售電量,122843643071
2019,商業售電量,34235217773
2019,其他售電量,17420672714
2020,住宅售電量,46695500703
2020,工業售電量,126101185859
2020,商業售電量,34470635844
2020,其他售電量,17545213628
2021,住宅售電量,49301273039
2021,工業售電量,134678639172
2021,商業售電量,34204628788
2021,其他售電量,17156370542
2022,住宅售電量,48106810534
2022,工業售電量,135699001985
2022,商業售電量,35394879238
2022,其他售電量,17562027996
2023,住宅售電量,48765855588
2023,工業售電量,130621350179
2023,商業售電量,35770300014
2023,其他售電量,17880915760
2024,住宅售電量,50626121327
2024,工業售電量,133337480850
2024,商業售電量,36857012048
2024,其他售電量,18240773508
