日期,備轉容量(萬瓩),備轉容量率(%)
20250101,307.0,10.97
20250102,450.4,15.21
20250103,786.6,26.53
20250104,362.2,13.18
20250105,409.9,15.09
20250106,540.0,18.54
20250107,443.3,14.90
20250108,445.0,14.91
20250109,518.8,17.33
20250110,1040.9,35.19
20250111,452.1,16.03
20250112,416.9,15.00
20250113,448.0,15.16
20250114,257.6,8.56
20250115,719.1,23.81
20250116,429.2,14.18
20250117,453.8,15.41
20250118,449.5,15.93
20250119,469.3,16.94
20250120,579.3,19.73
20250121,359.1,12.30
20250122,660.8,22.58
20250123,767.4,26.79
20250124,1437.3,52.95
20250125,612.0,23.41
20250126,674.0,26.18
20250127,715.6,28.63
20250128,720.5,30.54
20250129,627.1,26.72
20250130,744.9,31.92
20250131,609.5,25.35
20250201,845.1,33.94
20250202,853.1,33.31
20250203,671.2,23.24
20250204,642.1,21.76
20250205,465.1,15.82
20250206,408.1,13.81
20250207,740.5,24.90
20250208,327.1,11.09
20250209,449.7,15.72
20250210,503.8,17.10
20250211,433.3,14.65
20250212,334.4,11.12
20250213,557.3,18.52
20250214,796.1,26.75
20250215,458.6,16.77
20250216,539.4,19.99
20250217,800.8,27.42
20250218,785.5,26.41
20250219,1083.6,36.38
20250220,933.3,31.12
20250221,970.3,32.39
20250222,474.2,17.17
20250223,432.4,15.63
20250224,508.4,17.05
20250225,1145.7,38.56
20250226,645.5,21.74
20250227,849.3,28.57
20250228,305.7,11.12
20250301,297.3,10.91
20250302,313.8,11.42
20250303,290.9,9.09
20250304,654.7,20.29
20250305,979.3,31.47
20250306,659.7,21.64
20250307,992.8,32.79
20250308,554.4,19.91
20250309,471.8,17.23
20250310,629.0,20.84
20250311,970.0,31.09
20250312,433.2,13.54
20250313,626.2,19.23
20250314,916.5,28.61
20250315,418.9,14.67
20250316,378.4,13.93
20250317,305.5,10.26
20250318,517.2,17.08
20250319,860.8,28.70
20250320,1313.9,44.61
20250321,1204.1,40.63
20250322,418.2,15.31
20250323,346.8,12.85
20250324,711.1,23.32
20250325,736.0,23.57
20250326,838.2,25.87
20250327,1031.7,30.93
20250328,885.0,27.96
20250329,551.6,20.02
20250330,487.7,18.00
20250331,747.3,25.00
20250401,1044.0,34.66
20250402,1051.8,35.57
20250403,667.2,24.63
20250404,344.0,12.90
20250405,348.8,13.06
20250406,510.5,19.07
20250407,471.3,15.11
20250408,667.8,20.94
20250409,631.2,19.45
20250410,509.8,15.63
20250411,383.5,11.51
20250412,516.8,17.42
20250413,334.4,12.42
20250414,842.2,26.83
20250415,814.7,25.58
20250416,583.3,17.98
20250417,655.3,19.48
20250418,792.6,23.24
20250419,743.7,24.30
20250420,429.4,14.67
20250421,811.8,23.01
20250422,535.8,14.92
20250423,773.5,21.95
20250424,439.0,12.81
20250425,694.5,20.81
20250426,585.6,20.39
20250427,288.8,10.04
20250428,516.0,15.86
20250429,732.7,22.42
20250430,898.5,26.80
20250501,427.4,14.22
20250502,1040.7,31.58
20250503,776.1,25.65
20250504,204.6,6.84
20250505,667.1,18.60
20250506,684.1,18.66
20250507,660.1,19.38
20250508,769.3,21.46
20250509,619.4,16.64
20250510,870.2,28.29
20250511,647.7,23.25
20250512,731.1,22.57
20250513,839.2,24.34
20250514,984.2,27.88
20250515,959.6,26.63
20250516,751.4,20.26
20250517,907.5,27.06
20250518,297.9,9.30
20250519,704.3,18.77
20250520,681.6,17.70
20250521,516.2,13.27
20250522,710.4,18.14
20250523,801.4,20.55
20250524,893.4,27.55
20250525,786.1,27.55
20250526,1236.4,38.67
20250527,807.4,22.97
20250528,768.0,21.99
20250529,458.1,13.54
20250530,1620.9,57.06
20250531,239.0,8.03
20250601,475.1,15.31
20250602,601.3,16.38
20250603,338.9,9.28
20250604,669.0,19.18
20250605,579.8,16.49
20250606,663.4,18.31
20250607,1049.7,31.20
20250608,299.2,9.06
20250609,641.5,16.66
20250610,642.7,16.25
20250611,605.0,14.98
20250612,453.3,11.86
20250613,382.6,10.81
20250614,759.0,22.60
20250615,448.9,13.44
20250616,644.3,16.62
20250617,432.9,11.25
20250618,368.1,9.28
20250619,646.5,16.40
20250620,691.6,17.61
20250621,959.8,27.29
20250622,284.7,8.51
20250623,748.6,18.86
20250624,523.8,13.06
20250625,673.7,16.70
20250626,684.1,17.18
20250627,735.4,18.57
20250628,1004.2,29.47
20250629,898.3,27.61
20250630,637.4,16.26
20250701,754.1,18.64
20250702,588.0,14.37
20250703,658.8,16.19
20250704,410.7,10.13
20250705,876.8,25.09
20250706,785.3,25.45
20250707,890.2,29.12
20250708,703.6,19.49
20250709,650.6,18.75
20250710,483.1,13.94
20250711,613.6,17.47
20250712,1215.2,36.72
20250713,401.2,12.24
20250714,843.6,22.30
20250715,665.6,17.18
20250716,813.8,20.61
20250717,729.9,18.16
20250718,673.1,16.76
20250719,429.0,12.93
20250720,523.3,16.48
20250721,799.2,22.09
20250722,537.0,14.49
20250723,882.3,22.77
20250724,793.0,20.40
20250725,991.7,26.37
20250726,1023.4,30.85
20250727,634.6,19.38
20250728,515.6,13.94
20250729,821.8,23.07
20250730,635.0,16.77
20250731,683.2,18.24
20250801,676.4,17.94
20250802,745.1,23.01
20250803,538.4,17.10
20250804,542.0,14.84
