站名,站號,劑量率(微西弗/小時),日期時間,經度,緯度
放射試驗室旁,HPIC115,0.062,20251118T212916,121.5916,25.2881
生水池前站,HPIC117,0.061,20251118T212944,121.5809,25.2943
生水池後站,HPIC118,0.069,20251118T212835,121.5830,25.2833
乾華民宅,HPIC116,0.060,20251118T212910,121.5844,25.2796
茂林社區,HPIC119,0.067,20251118T212921,121.5911,25.2702
金美國小,HPIC109,0.067,20251118T212914,121.6368,25.2209
萬里國小,HPIC110,0.064,20251118T212937,121.6890,25.1754
二廠大修宿舍,HPIC201,0.053,20251118T192507,121.6571,25.2075
入水口,HPIC205,0.059,20251118T212908,121.6761,25.2032
油槽,HPIC206,0.063,20251118T212935,121.6558,25.1997
保警中隊部,HPIC207,0.063,20251118T212852,121.6726,25.1997
仁和宮,HPIC208,0.064,20251118T212854,121.6602,25.1952
金美國小,HPIC209,0.067,20251118T212914,121.6368,25.2209
萬里國小,HPIC210,0.064,20251118T212937,121.6890,25.1754
宿舍區,HPIC305,0.054,20251118T212847,120.7527,21.9678
核三工作隊,HPIC308,0.061,20251118T212941,120.7557,21.9655
1號風力發電機旁(舊墓地),HPIC303,0.055,20251118T212754,120.7447,21.9573
3號風力發電機旁(大光分隊旁),HPIC302,0.045,20251118T212925,120.7443,21.9526
入水口,HPIC307,0.046,20251118T212609,120.7584,21.9580
大門口,HPIC501,0.048,20251118T212914,121.5907,22.0033
後門口,HPIC502,0.050,20251118T212823,121.5938,22.0069
行政大樓後側,HPIC503,0.054,20251118T212936,121.5907,22.0041
石門分駐所監測站,s101,0.066,20251118T212919,121.567377,25.290809
北觀處監測站,s102,0.046,20251118T212946,121.519248,25.283192
橫山國小監測站,s103,0.049,20251118T212918,121.530037,25.258705
兩湖里監測站,s104,0.069,20251118T213000,121.593427,25.229414
富基里監測站,s105,0.070,20251118T212927,121.540665,25.289035
六三社區監測站,s106,0.080,20251118T212955,121.620731,25.229823
萬壽社區監測站,s107,0.048,20251118T212926,121.632662,25.240017
武崙國小監測站,s201,0.049,20251118T212918,121.706140,25.138989
隆聖國小監測站,s202,0.068,20251118T213003,121.694270,25.156530
中和國小監測站,s203,0.070,20251118T212919,121.720511,25.146760
崁腳里監測站,s204,0.074,20251118T213003,121.649778,25.160058
友二里監測站,s205,0.084,20251118T212925,121.665573,25.108030
重光派出所監測站,s206,0.069,20251118T212912,121.603867,25.216296
大坪國小監測站,s207,0.070,20251118T212956,121.638457,25.167144
墾丁派出所監測站,s301,0.049,20251118T212850,120.799816,21.944787
永港派出所監測站,s302,0.066,20251118T212919,120.808319,22.006257
僑勇國小監測站,s303,0.070,20251118T212928,120.743910,22.008862
仁壽派出所監測站,s304,0.070,20251118T212919,120.737739,22.026955
四溝里監測站,s305,0.039,20251118T212944,120.723551,22.007329
泉南宮監測站,s306,0.063,20251118T212910,120.732042,21.928545
墾丁消防隊監測站,s307,0.068,20251118T213003,120.823401,21.934556
朗島社區,s501,0.023,20251118T212942,121.526025,22.077631
椰油社區,s505,0.033,20251118T212928,121.512262,22.049646
漁人社區,s504,0.036,20251118T212900,121.535940,22.027905
紅頭社區,s506,0.034,20251118T212853,121.554740,22.024848
東清社區,s503,0.025,20251118T212933,121.564962,22.057301
野銀社區,s502,0.029,20251118T212920,121.566409,22.038982
白砂路下泉路口,t26101,0.070,20250911T161952,120.731183,21.933431
貓鼻頭公園,t26102,0.064,20250911T122954,120.736313,21.924311
