年度,發購電,能源別,發購電量
2005,台電,抽蓄水力,3830254000
2005,台電,燃油,10429370735
2005,台電,燃煤,62090357949
2005,台電,燃氣,22308807600
2005,台電,核能,38403887800
2005,台電,地熱,
2005,台電,慣常水力,3340631590
2005,台電,風力,79094971
2005,台電,太陽能,
2005,台電,電池,
2006,台電,抽蓄水力,3902278001
2006,台電,燃油,13742812385
2006,台電,燃煤,64966216526
2006,台電,燃氣,24385672023
2006,台電,核能,38316606220
2006,台電,地熱,
2006,台電,慣常水力,3363581254
2006,台電,風力,174041995
2006,台電,太陽能,
2006,台電,電池,
2007,台電,抽蓄水力,3924461000
2007,台電,燃油,11634358501
2007,台電,燃煤,66762477625
2007,台電,燃氣,28515183279
2007,台電,核能,38960772980
2007,台電,地熱,
2007,台電,慣常水力,3401455973
2007,台電,風力,276462957
2007,台電,太陽能,
2007,台電,電池,
2008,台電,抽蓄水力,3458878000
2008,台電,燃油,10891269389
2008,台電,燃煤,65398190600
2008,台電,燃氣,31851324474
2008,台電,核能,39260459020
2008,台電,地熱,
2008,台電,慣常水力,3410728799
2008,台電,風力,272689757
2008,台電,太陽能,96286
2008,台電,電池,
2009,台電,抽蓄水力,3289716522
2009,台電,燃油,5787799393
2009,台電,燃煤,60856074306
2009,台電,燃氣,30117877769
2009,台電,核能,39981033900
2009,台電,地熱,
2009,台電,慣常水力,2956848198
2009,台電,風力,371679524
2009,台電,太陽能,98128
2009,台電,電池,
2010,台電,抽蓄水力,3047150815
2010,台電,燃油,7794293961
2010,台電,燃煤,61353208857
2010,台電,燃氣,41617022577
2010,台電,核能,40028521280
2010,台電,地熱,
2010,台電,慣常水力,3432877119
2010,台電,風力,515203379
2010,台電,太陽能,3863211
2010,台電,電池,
2011,台電,抽蓄水力,2888972904
2011,台電,燃油,6908196165
2011,台電,燃煤,64193784375
2011,台電,燃氣,44169762155
2011,台電,核能,40522228950
2011,台電,地熱,
2011,台電,慣常水力,3094652735
2011,台電,風力,802966565
2011,台電,太陽能,8640397
2011,台電,電池,
2012,台電,抽蓄水力,2924174080
2012,台電,燃油,5333211802
2012,台電,燃煤,63845264761
2012,台電,燃氣,48896306649
2012,台電,核能,38887288140
2012,台電,地熱,
2012,台電,慣常水力,4687250302
2012,台電,風力,736544988
2012,台電,太陽能,13206306
2012,台電,電池,
2013,台電,抽蓄水力,3174130709
2013,台電,燃油,4970126583
2013,台電,燃煤,60423770500
2013,台電,燃氣,50243443315
2013,台電,核能,40078642480
2013,台電,地熱,
2013,台電,慣常水力,4539067821
2013,台電,風力,747796090
2013,台電,太陽能,16756062
2013,台電,電池,
2014,台電,抽蓄水力,3108279870
2014,台電,燃油,6259292458
2014,台電,燃煤,60824785100
2014,台電,燃氣,53734242954
2014,台電,核能,40801058460
2014,台電,地熱,
2014,台電,慣常水力,3601170841
2014,台電,風力,706536302
2014,台電,太陽能,22945675
2014,台電,電池,
2015,台電,抽蓄水力,3023125832
2015,台電,燃油,10259028826
2015,台電,燃煤,57079618998
2015,台電,燃氣,59065990128
2015,台電,核能,35143029380
2015,台電,地熱,
2015,台電,慣常水力,3748464276
2015,台電,風力,716469180
2015,台電,太陽能,25248007
2015,台電,電池,
2016,台電,抽蓄水力,3281640653
2016,台電,燃油,10033892775
2016,台電,燃煤,61942326307
2016,台電,燃氣,62136438227
2016,台電,核能,30461100600
2016,台電,地熱,
2016,台電,慣常水力,5518913061
2016,台電,風力,645737798
2016,台電,太陽能,23225684
2016,台電,電池,
2017,台電,抽蓄水力,3321950233
2017,台電,燃油,11174707147
2017,台電,燃煤,69523538874
2017,台電,燃氣,69634899910
2017,台電,核能,21560475160
2017,台電,地熱,
2017,台電,慣常水力,4502682949
2017,台電,風力,745773669
2017,台電,太陽能,24142739
2017,台電,電池,
2018,台電,抽蓄水力,3358770138
2018,台電,燃油,6593224485
2018,台電,燃煤,70831348857
2018,台電,燃氣,70904439696
2018,台電,核能,26656427760
2018,台電,地熱,
