日期,淨尖峰供電能力(萬瓩),尖峰負載(萬瓩),備轉容量(萬瓩),備轉容量率(%),工業用電(百萬度),民生用電(百萬度),核一#1(萬瓩),核一#2(萬瓩),核二#1(萬瓩),核二#2(萬瓩),核三#1(萬瓩),核三#2(萬瓩),林口#1(萬瓩),林口#2(萬瓩),林口#3(萬瓩),台中#1(萬瓩),台中#2(萬瓩),台中#3(萬瓩),台中#4(萬瓩),台中#5(萬瓩),台中#6(萬瓩),台中#7(萬瓩),台中#8(萬瓩),台中#9(萬瓩),台中#10(萬瓩),興達#1(萬瓩),興達#2(萬瓩),興達#3(萬瓩),興達#4(萬瓩),大林#1(萬瓩),大林#2(萬瓩),和平#1(萬瓩),和平#2(萬瓩),麥寮#1(萬瓩),麥寮#2(萬瓩),麥寮#3(萬瓩),汽電共生(萬瓩),大潭 (#1-#6)(萬瓩),通霄 (#1-#6、GT#9)(萬瓩),興達 (#1-#5)(萬瓩),南部 (#1-#4)(萬瓩),大林(#5-#6)(萬瓩),海湖 (#1-#2)(萬瓩),國光 #1(萬瓩),新桃#1(萬瓩),星彰#1(萬瓩),星元#1(萬瓩),嘉惠#1(萬瓩),豐德(#1-#2)(萬瓩),協和 (#1-#4)(萬瓩),氣渦輪(萬瓩),離島(萬瓩),德基(萬瓩),青山(萬瓩),谷關(萬瓩),天輪(萬瓩),馬鞍(萬瓩),萬大(萬瓩),大觀(萬瓩),鉅工(萬瓩),大觀二(萬瓩),明潭(萬瓩),碧海(萬瓩),立霧(萬瓩),龍澗(萬瓩),卓蘭(萬瓩),水里(萬瓩),其他小水力(萬瓩),風力發電(萬瓩),太陽能發電(萬瓩)
20240101,3075.8,2532.8,390,15.21,302.784,218.531,0,0,0,0,94.8,94.5,75.9,0,76.1,46.7,42,44,0,0,0,44.2,45.6,43,43.7,0,0,0,0,0,75.8,0,55.4,43.1,42.8,0,93.6,377.5,334.4,200.2,114.1,22.3,40.6,0,0,44.3,0,0,44.5,28.1,0,9,3.3,4.1,2,2,0.9,3.9,1.8,1,29.3,76.9,4.9,1.6,1.4,3.9,0,18.8,176.2,0
20240102,3280,2870.3,451.7,17.08,341.879,246.747,0,0,0,0,95,94.4,75.8,0,76.1,50,50.4,47.8,0,0,0,47.7,48.4,49.3,50.4,0,0,0,0,0,75.9,0,61.1,56.4,56.3,0,110.5,437.2,322.7,206.4,109.4,22.3,86.8,0,46.7,44.3,48.5,108.4,92.2,27.8,3.8,9.3,3,1.8,1.6,1.5,0.6,3.9,2,1.1,33.5,52.6,5.9,1.6,3.1,3.9,0,20.7,80.7,0
20240103,3420.8,2899.6,560.1,18.99,354.601,255.928,0,0,0,0,94.8,94.4,75.7,0,75.9,37.5,37.5,38.1,0,0,0,38,38.7,37.6,38.5,0,0,0,0,0,76.1,0,51.4,47.7,47.8,0,100.8,422.3,322,155.9,78.5,22.3,40.1,39,47.3,41.2,0,68.2,24.9,27.9,0,6.6,0.7,3.1,1.9,1.8,0.8,0,2.6,0.5,0,0,0.6,1.6,0,0,0,9,179.8,476.2
20240104,3359.6,2933.7,530.3,17.91,357.191,257.797,0,0,0,0,94.8,94.5,75.8,0,76.2,51.1,50.3,50,0,0,0,48.9,49.6,48.1,48.3,0,0,0,0,0,76,0,60.8,50.5,50.7,0,110.5,433.7,330.5,200.8,101.2,22.1,88.6,48.8,47.1,51.3,45.8,119.4,93,28.1,0,9,4.3,5.4,2.9,2.8,1.4,3.9,1.8,1,30,59.7,4.9,1.6,2.5,4,0,20.4,89.1,0
20240105,3393,2894.6,380.4,12.64,355.554,256.617,0,0,0,0,94.9,94.4,75.7,0,76.3,44.7,44.9,41,0,0,0,41.3,41.6,42.6,41.2,0,0,0,0,0,76.1,0,60.9,47.6,47.6,0,109.6,436,332.5,198.2,102.7,22.1,92,48.8,46.8,53.1,54.8,119.4,97.6,28.2,0,8.2,3.6,4.6,3,2.8,1.5,3.9,1.1,0.4,16.2,43.2,0.5,1.6,0,1.8,0,18.3,8.2,125.5
20240106,3151.7,2667.9,429,14.59,329.769,238.007,0,0,0,0,94.8,94.4,75.8,0,76.3,42.2,42.7,42.3,0,0,0,43.3,42.4,42.8,45.5,0,0,0,0,0,76,0,57,50.4,45.7,0,89.6,346.4,328.9,203.9,100.5,22.1,41.4,43.7,0,44.7,45.4,108.6,46.2,27.7,0,8.2,3.9,4.6,2.9,2.8,1.5,3.2,1.5,0.9,44,59,5.4,1.6,3,3.9,0,19.6,140.2,0
20240107,3154.6,2601.3,476.4,17.16,312.634,225.64,0,0,0,0,94.9,94.4,75.9,0,76.3,39.9,40.7,39.9,0,0,0,48.2,41.7,48.6,48.2,0,0,0,0,0,76,0,61,39.1,38.7,0,92.3,373.2,328.8,193.7,102.8,22.2,39.6,49.3,0,45.2,0,0,89.2,28.1,0,8.2,4.3,3.2,2.1,2,1.1,2,2.6,0.6,30,78.4,0.5,1.6,1,3.9,0,19.9,178.1,0
20240108,3406.3,2896.7,341.3,12.92,347.255,250.627,0,0,0,0,94.8,94.5,75.8,0,76.2,41,41.5,42.3,0,0,0,38.1,54.9,43.4,43.1,0,0,0,0,0,76,0,46,46.3,46.7,0,110.5,435.5,320,191.4,97.1,22.1,81.8,42.8,47,44.3,45.3,119.2,90.1,28,0,8.4,3.1,6.4,1.7,1.9,1,3.9,0.9,0.7,30.1,63.3,2.9,1.6,4.8,4,0,19.5,163.3,0
20240109,3359.8,2945.3,374.5,12.69,358.707,258.891,0,0,0,0,94.8,94.5,75.7,0,76.2,31.4,33,33,0,0,0,37.5,54.9,37.9,49.7,0,0,0,0,0,76,0,61,45.8,46.2,0,83.1,435.7,317.3,204.1,106,22.1,87.3,43,46.9,47.5,53.2,119.3,94.3,27.9,0,8.1,3.1,2.4,2,1.9,0.8,3.9,1.9,1,18.8,47.6,0.5,1.6,0,0.7,0,12.9,137.4,123.4
20240110,3338.4,2881.5,347.3,11.63,355.406,256.51,0,0,0,0,94.8,94.5,75.7,0,76.1,46.7,42.7,43.7,0,0,0,43.1,54.8,42.8,43.1,0,0,0,0,0,76,0,60.9,42.8,42.6,0,83.5,414.1,320.2,174.2,114,22.1,88.8,48.6,47.4,53.3,55.1,98.8,98.1,28,0,8.3,3.1,3.1,1.9,1.9,0.8,3.9,2,1,35.2,62.4,2.9,1.4,2.5,3.9,0,17.4,168.3,0
