period,year,month,raw_period,total_mwh,industrial_mwh,textile_apparel_mwh,pulp_paper_mwh,chemical_materials_mwh,plastic_products_mwh,nonmetal_minerals_mwh,basic_metals_mwh,fabricated_metals_mwh,electronics_mwh,industrial_other_mwh,residential_commercial_mwh,residential_mwh,service_sector_mwh,wholesale_retail_mwh,accommodation_food_mwh,transport_services_mwh,warehousing_mwh,telecom_mwh,finance_real_estate_mwh,business_services_mwh,social_personal_services_mwh,public_admin_mwh,service_other_mwh,transport_mwh,road_mwh,rail_mwh,pipeline_mwh,transport_other_mwh,energy_sector_mwh,agriculture_mwh
1982-01-01,1982,1,71年01月,3081375.653,1910705.005,315242.239,126471.237,377573.545,67242.384,223655.209,241694.38,76314.709,81219.229,401292.073,882633.22,539072.595,343560.625,32761.8712378,12217.547926,10194.22,9587.875,11228.528,7089.1290784,2871.35078425,39652.45097355,64063.835,153893.817,21199.2,0.0,21199.2,0.0,0,217092.295,49745.933
1982-02-01,1982,2,71年02月,2820343.047,1624596.236,267026.217,112034.307,338749.271,53978.219,160115.924,210083.641,59611.122,68211.223,354786.312,901593.684,560598.145,340995.539,33162.083628891,12573.554711967,11301.918,9328.442,11471.22,6858.696295073,2782.051831153,36771.996532916,65761.433,150984.143,18064.8,0.0,18064.8,0.0,0,216259.763,59828.564
1982-03-01,1982,3,71年03月,2985841.12,1816610.123,295584.231,120868.03,353764.999,63156.384,193472.1,252863.589,75002.964,81576.861,380320.965,855354.104,528279.067,327075.037,30418.020856512,11684.358454896,5563.265,8776.667,10726.856,6486.93479556,2610.702548784,37292.375344248,66222.974,147292.883,20400.0,0.0,20400.0,0.0,0,233893.826,59583.067
1982-04-01,1982,4,71年04月,3230183.767,1984646.394,332123.631,130563.501,374767.86,69655.709,219616.962,266837.362,81706.383,89287.469,420087.517,936459.598,566833.971,369625.627,36221.657504863,14451.090210486,10659.501,10626.016,12671.426,8085.798295017,3125.823573862,45835.789415772,65813.983,162134.542,18712.8,0.0,18712.8,0.0,0,225570.037,64794.938
1982-05-01,1982,5,71年05月,3262690.878,1975181.295,332667.874,124730.607,394643.24,67720.584,200738.121,273819.567,79444.16,89880.23,411536.912,960101.649,583042.76,377058.889,37329.930373995,15586.506059565,8925.063,11152.11,13126.998,8681.82823884,3370.73447112,51359.49585648,64499.552,163026.671,19591.2,0.0,19591.2,0.0,0,239326.687,68490.047
1982-06-01,1982,6,71年06月,3703826.758,2238271.449,395538.89,135600.113,472161.494,76598.222,201869.392,291407.954,89220.429,113834.871,462040.084,1144394.11,647927.846,496466.264,59037.582849616,25579.723875762,14014.568,13880.069,17394.361,13978.290847514,5490.535909152,84358.948517956,71084.682,191647.502,19416.0,0.0,19416.0,0.0,0,243711.093,58034.106
1982-07-01,1982,7,71年07月,3581321.782,2030711.363,353455.446,124076.018,409208.013,68981.405,191567.519,263626.857,88423.177,99966.143,431406.785,1221337.979,733795.928,487542.051,56516.549317734,24942.164476779,11413.205,12108.947,17256.317,13301.221768857,5270.124343242,71044.547093388,73291.594,202397.381,20080.8,0.0,20080.8,0.0,0,255714.904,53476.736
1982-08-01,1982,8,71年08月,3819213.082,2101019.452,403790.723,125083.343,384162.084,69602.066,185605.665,298402.191,82888.88,104526.754,446957.746,1395106.429,839886.107,555220.322,64376.321880648,28795.170276252,15210.054,12542.867,19638.014,15186.41710308,6061.975434384,82320.847305636,87466.84,223621.815,18290.4,0.0,18290.4,0.0,0,245851.809,58944.992
1982-09-01,1982,9,71年09月,3864970.539,2141566.999,410408.931,128743.73,391167.884,73098.772,187996.695,295059.203,86248.332,111458.451,457385.001,1392055.146,832180.326,559874.82,66479.223132128,29350.938260136,13675.965,13499.193,19632.925,15219.36501112,6180.892730168,85262.462866448,82970.116,227603.739,18751.2,0.0,18751.2,0.0,0,258210.201,54386.993
1982-10-01,1982,10,71年10月,3597932.444,1996757.894,369741.192,124242.753,377620.463,67899.067,194108.215,272993.295,79725.75,89149.376,421277.783,1264380.416,764457.591,499922.825,56771.045199466,24115.550443322,10316.812,12224.512,16812.332,12824.233878768,5313.407608886,74520.120869558,78196.012,208828.799,20100.0,0.0,20100.0,0.0,0,251312.52,65381.614
