period,raw_period,owner_group,owner,technology,capacity_mw
1982-01-01,71年01月,nation_total,全國,合計,10158.0
1982-01-01,71年01月,nation_total,全國,抽蓄水力,0.0
1982-01-01,71年01月,nation_total,全國,火力,6514.0
1982-01-01,71年01月,nation_total,全國,燃煤,1405.0
1982-01-01,71年01月,nation_total,全國,燃油,5109.0
1982-01-01,71年01月,nation_total,全國,燃氣,0.0
1982-01-01,71年01月,nation_total,全國,核能,2257.0
1982-01-01,71年01月,nation_total,全國,再生能源,1387.0
1982-01-01,71年01月,nation_total,全國,慣常水力,1387.0
1982-01-01,71年01月,nation_total,全國,地熱,0.0
1982-01-01,71年01月,nation_total,全國,太陽光電,0.0
1982-01-01,71年01月,nation_total,全國,風力,0.0
1982-01-01,71年01月,nation_total,全國,生質能,0.0
1982-01-01,71年01月,nation_total,全國,廢棄物,0.0
1982-01-01,71年01月,generation_companies,發電業,合計,10158.0
1982-01-01,71年01月,generation_companies,發電業,抽蓄水力,0.0
1982-01-01,71年01月,generation_companies,發電業,火力,6514.0
1982-01-01,71年01月,generation_companies,發電業,燃煤,1405.0
1982-01-01,71年01月,generation_companies,發電業,燃油,5109.0
1982-01-01,71年01月,generation_companies,發電業,燃氣,0.0
1982-01-01,71年01月,generation_companies,發電業,核能,2257.0
1982-01-01,71年01月,generation_companies,發電業,再生能源,1387.0
1982-01-01,71年01月,generation_companies,發電業,慣常水力,1387.0
1982-01-01,71年01月,generation_companies,發電業,地熱,0.0
1982-01-01,71年01月,generation_companies,發電業,太陽光電,0.0
1982-01-01,71年01月,generation_companies,發電業,風力,0.0
1982-01-01,71年01月,generation_companies,發電業,生質能,0.0
1982-01-01,71年01月,generation_companies,發電業,廢棄物,0.0
1982-01-01,71年01月,taipower,台電,合計,10158.0
1982-01-01,71年01月,taipower,台電,抽蓄水力,0.0
1982-01-01,71年01月,taipower,台電,火力,6514.0
1982-01-01,71年01月,taipower,台電,燃煤,1405.0
1982-01-01,71年01月,taipower,台電,燃油,5109.0
1982-01-01,71年01月,taipower,台電,燃氣,0.0
1982-01-01,71年01月,taipower,台電,核能,2257.0
1982-01-01,71年01月,taipower,台電,再生能源,1387.0
1982-01-01,71年01月,taipower,台電,慣常水力,1387.0
1982-01-01,71年01月,taipower,台電,地熱,0.0
1982-01-01,71年01月,taipower,台電,太陽光電,0.0
1982-01-01,71年01月,taipower,台電,風力,0.0
1982-01-01,71年01月,taipower,台電,生質能,0.0
1982-01-01,71年01月,taipower,台電,廢棄物,0.0
1982-01-01,71年01月,ipp,民營電廠,合計,0.0
1982-01-01,71年01月,ipp,民營電廠,抽蓄水力,0.0
1982-01-01,71年01月,ipp,民營電廠,火力,0.0
1982-01-01,71年01月,ipp,民營電廠,燃煤,0.0
1982-01-01,71年01月,ipp,民營電廠,燃油,0.0
1982-01-01,71年01月,ipp,民營電廠,燃氣,0.0
1982-01-01,71年01月,ipp,民營電廠,核能,0.0
1982-01-01,71年01月,ipp,民營電廠,再生能源,0.0
1982-01-01,71年01月,ipp,民營電廠,慣常水力,0.0
1982-01-01,71年01月,ipp,民營電廠,地熱,0.0
1982-01-01,71年01月,ipp,民營電廠,太陽光電,0.0
1982-01-01,71年01月,ipp,民營電廠,風力,0.0
1982-01-01,71年01月,ipp,民營電廠,生質能,0.0
1982-01-01,71年01月,ipp,民營電廠,廢棄物,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,合計,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,抽蓄水力,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,火力,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,燃煤,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,燃油,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,燃氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,核能,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,再生能源,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,慣常水力,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,地熱,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,太陽光電,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,風力,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,生質能,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,廢棄物,0.0
1982-02-01,71年02月,nation_total,全國,合計,10158.0
1982-02-01,71年02月,nation_total,全國,抽蓄水力,0.0
1982-02-01,71年02月,nation_total,全國,火力,6514.0
1982-02-01,71年02月,nation_total,全國,燃煤,1405.0
1982-02-01,71年02月,nation_total,全國,燃油,5109.0
1982-02-01,71年02月,nation_total,全國,燃氣,0.0
1982-02-01,71年02月,nation_total,全國,核能,2257.0
1982-02-01,71年02月,nation_total,全國,再生能源,1387.0
1982-02-01,71年02月,nation_total,全國,慣常水力,1387.0
1982-02-01,71年02月,nation_total,全國,地熱,0.0
1982-02-01,71年02月,nation_total,全國,太陽光電,0.0
1982-02-01,71年02月,nation_total,全國,風力,0.0
1982-02-01,71年02月,nation_total,全國,生質能,0.0
1982-02-01,71年02月,nation_total,全國,廢棄物,0.0
1982-02-01,71年02月,generation_companies,發電業,合計,10158.0
1982-02-01,71年02月,generation_companies,發電業,抽蓄水力,0.0
1982-02-01,71年02月,generation_companies,發電業,火力,6514.0
1982-02-01,71年02月,generation_companies,發電業,燃煤,1405.0
1982-02-01,71年02月,generation_companies,發電業,燃油,5109.0
1982-02-01,71年02月,generation_companies,發電業,燃氣,0.0
1982-02-01,71年02月,generation_companies,發電業,核能,2257.0
1982-02-01,71年02月,generation_companies,發電業,再生能源,1387.0
1982-02-01,71年02月,generation_companies,發電業,慣常水力,1387.0
1982-02-01,71年02月,generation_companies,發電業,地熱,0.0
1982-02-01,71年02月,generation_companies,發電業,太陽光電,0.0
1982-02-01,71年02月,generation_companies,發電業,風力,0.0
1982-02-01,71年02月,generation_companies,發電業,生質能,0.0
1982-02-01,71年02月,generation_companies,發電業,廢棄物,0.0
1982-02-01,71年02月,taipower,台電,合計,10158.0
1982-02-01,71年02月,taipower,台電,抽蓄水力,0.0
1982-02-01,71年02月,taipower,台電,火力,6514.0
1982-02-01,71年02月,taipower,台電,燃煤,1405.0
1982-02-01,71年02月,taipower,台電,燃油,5109.0
1982-02-01,71年02月,taipower,台電,燃氣,0.0
1982-02-01,71年02月,taipower,台電,核能,2257.0
1982-02-01,71年02月,taipower,台電,再生能源,1387.0
1982-02-01,71年02月,taipower,台電,慣常水力,1387.0
1982-02-01,71年02月,taipower,台電,地熱,0.0
1982-02-01,71年02月,taipower,台電,太陽光電,0.0
1982-02-01,71年02月,taipower,台電,風力,0.0
1982-02-01,71年02月,taipower,台電,生質能,0.0
1982-02-01,71年02月,taipower,台電,廢棄物,0.0
1982-02-01,71年02月,ipp,民營電廠,合計,0.0
1982-02-01,71年02月,ipp,民營電廠,抽蓄水力,0.0
1982-02-01,71年02月,ipp,民營電廠,火力,0.0
1982-02-01,71年02月,ipp,民營電廠,燃煤,0.0
1982-02-01,71年02月,ipp,民營電廠,燃油,0.0
1982-02-01,71年02月,ipp,民營電廠,燃氣,0.0
1982-02-01,71年02月,ipp,民營電廠,核能,0.0
1982-02-01,71年02月,ipp,民營電廠,再生能源,0.0
1982-02-01,71年02月,ipp,民營電廠,慣常水力,0.0
1982-02-01,71年02月,ipp,民營電廠,地熱,0.0
1982-02-01,71年02月,ipp,民營電廠,太陽光電,0.0
1982-02-01,71年02月,ipp,民營電廠,風力,0.0
1982-02-01,71年02月,ipp,民營電廠,生質能,0.0
1982-02-01,71年02月,ipp,民營電廠,廢棄物,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,合計,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,抽蓄水力,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,火力,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,燃煤,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,燃油,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,燃氣,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,核能,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,再生能源,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,慣常水力,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,地熱,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,太陽光電,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,風力,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,生質能,0.0
1982-02-01,71年02月,captive_generators,自用發電設備,廢棄物,0.0
1982-03-01,71年03月,nation_total,全國,合計,10158.0
1982-03-01,71年03月,nation_total,全國,抽蓄水力,0.0
1982-03-01,71年03月,nation_total,全國,火力,6514.0
1982-03-01,71年03月,nation_total,全國,燃煤,1405.0
1982-03-01,71年03月,nation_total,全國,燃油,5109.0
1982-03-01,71年03月,nation_total,全國,燃氣,0.0
1982-03-01,71年03月,nation_total,全國,核能,2257.0
1982-03-01,71年03月,nation_total,全國,再生能源,1387.0
1982-03-01,71年03月,nation_total,全國,慣常水力,1387.0
1982-03-01,71年03月,nation_total,全國,地熱,0.0
1982-03-01,71年03月,nation_total,全國,太陽光電,0.0
1982-03-01,71年03月,nation_total,全國,風力,0.0
1982-03-01,71年03月,nation_total,全國,生質能,0.0
1982-03-01,71年03月,nation_total,全國,廢棄物,0.0
1982-03-01,71年03月,generation_companies,發電業,合計,10158.0
1982-03-01,71年03月,generation_companies,發電業,抽蓄水力,0.0
1982-03-01,71年03月,generation_companies,發電業,火力,6514.0
1982-03-01,71年03月,generation_companies,發電業,燃煤,1405.0
1982-03-01,71年03月,generation_companies,發電業,燃油,5109.0
1982-03-01,71年03月,generation_companies,發電業,燃氣,0.0
1982-03-01,71年03月,generation_companies,發電業,核能,2257.0
1982-03-01,71年03月,generation_companies,發電業,再生能源,1387.0
1982-03-01,71年03月,generation_companies,發電業,慣常水力,1387.0
1982-03-01,71年03月,generation_companies,發電業,地熱,0.0
1982-03-01,71年03月,generation_companies,發電業,太陽光電,0.0
1982-03-01,71年03月,generation_companies,發電業,風力,0.0
1982-03-01,71年03月,generation_companies,發電業,生質能,0.0
1982-03-01,71年03月,generation_companies,發電業,廢棄物,0.0
1982-03-01,71年03月,taipower,台電,合計,10158.0
1982-03-01,71年03月,taipower,台電,抽蓄水力,0.0
1982-03-01,71年03月,taipower,台電,火力,6514.0
1982-03-01,71年03月,taipower,台電,燃煤,1405.0
1982-03-01,71年03月,taipower,台電,燃油,5109.0
1982-03-01,71年03月,taipower,台電,燃氣,0.0
1982-03-01,71年03月,taipower,台電,核能,2257.0
1982-03-01,71年03月,taipower,台電,再生能源,1387.0
1982-03-01,71年03月,taipower,台電,慣常水力,1387.0
1982-03-01,71年03月,taipower,台電,地熱,0.0
1982-03-01,71年03月,taipower,台電,太陽光電,0.0
1982-03-01,71年03月,taipower,台電,風力,0.0
1982-03-01,71年03月,taipower,台電,生質能,0.0
1982-03-01,71年03月,taipower,台電,廢棄物,0.0
1982-03-01,71年03月,ipp,民營電廠,合計,0.0
1982-03-01,71年03月,ipp,民營電廠,抽蓄水力,0.0
1982-03-01,71年03月,ipp,民營電廠,火力,0.0
