category,subcategory,item,calendar_year,cost_ntd_per_kwh
自發電力,火力發電,火力發電,2022,3.5
自發電力,火力發電,火力發電,2023,3.52
自發電力,火力發電,火力發電,2024,2.87
自發電力,火力發電,燃  油,2022,7.28
自發電力,火力發電,燃  油,2023,7.5
自發電力,火力發電,燃  油,2024,7.29
自發電力,火力發電,燃  煤,2022,3.57
自發電力,火力發電,燃  煤,2023,3.43
自發電力,火力發電,燃  煤,2024,2.5
自發電力,火力發電,燃  氣,2022,3.29
自發電力,火力發電,燃  氣,2023,3.44
自發電力,火力發電,燃  氣,2024,2.94
自發電力,核能發電,核能發電,2022,1.49
自發電力,核能發電,核能發電,2023,1.38
自發電力,核能發電,核能發電,2024,1.41
自發電力,抽蓄發電,抽蓄發電,2022,4.44
自發電力,抽蓄發電,抽蓄發電,2023,5.35
自發電力,抽蓄發電,抽蓄發電,2024,4.64
自發電力,再生能源發電,再生能源發電,2022,1.72
自發電力,再生能源發電,再生能源發電,2023,2.53
自發電力,再生能源發電,再生能源發電,2024,2.45
自發電力,再生能源發電,慣常水力,2022,1.2
自發電力,再生能源發電,慣常水力,2023,1.83
自發電力,再生能源發電,慣常水力,2024,1.75
自發電力,再生能源發電,風力發電,2022,3.42
自發電力,再生能源發電,風力發電,2023,4.48
自發電力,再生能源發電,風力發電,2024,4.4
自發電力,再生能源發電,太陽光電,2022,3.36
自發電力,再生能源發電,太陽光電,2023,4.13
自發電力,再生能源發電,太陽光電,2024,3.94
自發電力,再生能源發電,地熱,2023,4.94
自發電力,再生能源發電,地熱,2024,9.23
自發電力,自發電力小計,自發電力小計,2022,3.21
自發電力,自發電力小計,自發電力小計,2023,3.3
自發電力,自發電力小計,自發電力小計,2024,2.78
購入電力,汽電共生,汽電共生,2022,3.55
購入電力,汽電共生,汽電共生,2023,3.07
購入電力,汽電共生,汽電共生,2024,2.97
購入電力,民營電廠,民營電廠,2022,3.79
購入電力,民營電廠,民營電廠,2023,4.17
購入電力,民營電廠,民營電廠,2024,3.43
購入電力,民營電廠,燃  煤,2022,3.69
購入電力,民營電廠,燃  煤,2023,4.13
購入電力,民營電廠,燃  煤,2024,3.27
購入電力,民營電廠,燃  氣,2022,3.87
購入電力,民營電廠,燃  氣,2023,4.19
購入電力,民營電廠,燃  氣,2024,3.52
購入電力,再生能源,再生能源,2022,4.75
購入電力,再生能源,再生能源,2023,5.2
購入電力,再生能源,再生能源,2024,5.4
購入電力,再生能源,慣常水力,2022,1.57
購入電力,再生能源,慣常水力,2023,1.83
購入電力,再生能源,慣常水力,2024,2.13
購入電力,再生能源,風力發電,2022,5.92
購入電力,再生能源,風力發電,2023,6.7
購入電力,再生能源,風力發電,2024,6.59
購入電力,再生能源,太陽光電,2022,4.86
購入電力,再生能源,太陽光電,2023,4.88
購入電力,再生能源,太陽光電,2024,4.87
購入電力,地　　熱,地　　熱,2022,6.15
購入電力,地　　熱,地　　熱,2023,6.32
購入電力,地　　熱,地　　熱,2024,6.59
購入電力,其他再生能源,其他再生能源,2022,4.9
購入電力,其他再生能源,其他再生能源,2023,4.21
購入電力,其他再生能源,其他再生能源,2024,4.2
購入電力,購入電力小計,購入電力小計,2022,3.96
購入電力,購入電力小計,購入電力小計,2023,4.29
購入電力,購入電力小計,購入電力小計,2024,3.94
平均發購電成本,,平均發購電成本,2022,3.39
平均發購電成本,,平均發購電成本,2023,3.59
平均發購電成本,,平均發購電成本,2024,3.13
