period,raw_period,owner_group,owner,fuel,consumption_units
1982-01-01,71年01月,nation_total,全國,總計,409696.822
1982-01-01,71年01月,nation_total,全國,煤及煤產品,96394.942
1982-01-01,71年01月,nation_total,全國,煙煤-燃料煤,96394.942
1982-01-01,71年01月,nation_total,全國,亞煙煤,0.0
1982-01-01,71年01月,nation_total,全國,焦爐氣,0.0
1982-01-01,71年01月,nation_total,全國,高爐氣,0.0
1982-01-01,71年01月,nation_total,全國,轉爐氣,0.0
1982-01-01,71年01月,nation_total,全國,石油產品,313301.88
1982-01-01,71年01月,nation_total,全國,煉油氣,0.0
1982-01-01,71年01月,nation_total,全國,液化石油氣,0.0
1982-01-01,71年01月,nation_total,全國,柴油,3025.44
1982-01-01,71年01月,nation_total,全國,燃料油,310276.44
1982-01-01,71年01月,nation_total,全國,石油焦,0.0
1982-01-01,71年01月,nation_total,全國,其他石油產品,0.0
1982-01-01,71年01月,nation_total,全國,天然氣,0.0
1982-01-01,71年01月,nation_total,全國,自產天然氣,0.0
1982-01-01,71年01月,nation_total,全國,進口液化天然氣,0.0
1982-01-01,71年01月,nation_total,全國,生質能及廢棄物,0.0
1982-01-01,71年01月,nation_total,全國,生質能,0.0
1982-01-01,71年01月,nation_total,全國,固態生質能,0.0
1982-01-01,71年01月,nation_total,全國,氣態生質能,0.0
1982-01-01,71年01月,nation_total,全國,廢棄物,0.0
1982-01-01,71年01月,generation_companies,發電業,總計,409696.822
1982-01-01,71年01月,generation_companies,發電業,煤及煤產品,96394.942
1982-01-01,71年01月,generation_companies,發電業,煙煤-燃料煤,96394.942
1982-01-01,71年01月,generation_companies,發電業,亞煙煤,0.0
1982-01-01,71年01月,generation_companies,發電業,焦爐氣,0.0
1982-01-01,71年01月,generation_companies,發電業,高爐氣,0.0
1982-01-01,71年01月,generation_companies,發電業,轉爐氣,0.0
1982-01-01,71年01月,generation_companies,發電業,石油產品,313301.88
1982-01-01,71年01月,generation_companies,發電業,煉油氣,0.0
1982-01-01,71年01月,generation_companies,發電業,液化石油氣,0.0
1982-01-01,71年01月,generation_companies,發電業,柴油,3025.44
1982-01-01,71年01月,generation_companies,發電業,燃料油,310276.44
1982-01-01,71年01月,generation_companies,發電業,石油焦,0.0
1982-01-01,71年01月,generation_companies,發電業,其他石油產品,0.0
1982-01-01,71年01月,generation_companies,發電業,天然氣,0.0
1982-01-01,71年01月,generation_companies,發電業,自產天然氣,0.0
1982-01-01,71年01月,generation_companies,發電業,進口液化天然氣,0.0
1982-01-01,71年01月,generation_companies,發電業,生質能及廢棄物,0.0
1982-01-01,71年01月,generation_companies,發電業,生質能,0.0
1982-01-01,71年01月,generation_companies,發電業,固態生質能,0.0
1982-01-01,71年01月,generation_companies,發電業,氣態生質能,0.0
1982-01-01,71年01月,generation_companies,發電業,廢棄物,0.0
1982-01-01,71年01月,taipower,台電,總計,409696.822
1982-01-01,71年01月,taipower,台電,煤及煤產品,96394.942
1982-01-01,71年01月,taipower,台電,煙煤-燃料煤,96394.942
1982-01-01,71年01月,taipower,台電,亞煙煤,0.0
1982-01-01,71年01月,taipower,台電,焦爐氣,0.0
1982-01-01,71年01月,taipower,台電,高爐氣,0.0
1982-01-01,71年01月,taipower,台電,轉爐氣,0.0
1982-01-01,71年01月,taipower,台電,石油產品,313301.88
1982-01-01,71年01月,taipower,台電,煉油氣,0.0
1982-01-01,71年01月,taipower,台電,液化石油氣,0.0
1982-01-01,71年01月,taipower,台電,柴油,3025.44
1982-01-01,71年01月,taipower,台電,燃料油,310276.44
1982-01-01,71年01月,taipower,台電,石油焦,0.0
1982-01-01,71年01月,taipower,台電,其他石油產品,0.0
1982-01-01,71年01月,taipower,台電,天然氣,0.0
1982-01-01,71年01月,taipower,台電,自產天然氣,0.0
1982-01-01,71年01月,taipower,台電,進口液化天然氣,0.0
1982-01-01,71年01月,taipower,台電,生質能及廢棄物,0.0
1982-01-01,71年01月,taipower,台電,生質能,0.0
1982-01-01,71年01月,taipower,台電,固態生質能,0.0
1982-01-01,71年01月,taipower,台電,氣態生質能,0.0
1982-01-01,71年01月,taipower,台電,廢棄物,0.0
1982-01-01,71年01月,ipp,民營電廠,總計,0.0
1982-01-01,71年01月,ipp,民營電廠,煤及煤產品,0.0
1982-01-01,71年01月,ipp,民營電廠,煙煤-燃料煤,0.0
1982-01-01,71年01月,ipp,民營電廠,亞煙煤,0.0
1982-01-01,71年01月,ipp,民營電廠,焦爐氣,0.0
1982-01-01,71年01月,ipp,民營電廠,高爐氣,0.0
1982-01-01,71年01月,ipp,民營電廠,轉爐氣,0.0
1982-01-01,71年01月,ipp,民營電廠,石油產品,0.0
1982-01-01,71年01月,ipp,民營電廠,煉油氣,0.0
1982-01-01,71年01月,ipp,民營電廠,液化石油氣,0.0
1982-01-01,71年01月,ipp,民營電廠,柴油,0.0
1982-01-01,71年01月,ipp,民營電廠,燃料油,0.0
1982-01-01,71年01月,ipp,民營電廠,石油焦,0.0
1982-01-01,71年01月,ipp,民營電廠,其他石油產品,0.0
1982-01-01,71年01月,ipp,民營電廠,天然氣,0.0
1982-01-01,71年01月,ipp,民營電廠,自產天然氣,0.0
1982-01-01,71年01月,ipp,民營電廠,進口液化天然氣,0.0
1982-01-01,71年01月,ipp,民營電廠,生質能及廢棄物,0.0
1982-01-01,71年01月,ipp,民營電廠,生質能,0.0
1982-01-01,71年01月,ipp,民營電廠,固態生質能,0.0
1982-01-01,71年01月,ipp,民營電廠,氣態生質能,0.0
1982-01-01,71年01月,ipp,民營電廠,廢棄物,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,總計,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,煤及煤產品,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,煙煤-燃料煤,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,亞煙煤,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,焦爐氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,高爐氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,轉爐氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,石油產品,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,煉油氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,液化石油氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,柴油,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,燃料油,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,石油焦,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,其他石油產品,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,天然氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,自產天然氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,進口液化天然氣,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,生質能及廢棄物,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,生質能,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,固態生質能,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,氣態生質能,0.0
1982-01-01,71年01月,captive_generators,自用發電設備,廢棄物,0.0
1982-02-01,71年02月,nation_total,全國,總計,400267.981
1982-02-01,71年02月,nation_total,全國,煤及煤產品,70962.701
1982-02-01,71年02月,nation_total,全國,煙煤-燃料煤,70962.701
1982-02-01,71年02月,nation_total,全國,亞煙煤,0.0
1982-02-01,71年02月,nation_total,全國,焦爐氣,0.0
1982-02-01,71年02月,nation_total,全國,高爐氣,0.0
1982-02-01,71年02月,nation_total,全國,轉爐氣,0.0
1982-02-01,71年02月,nation_total,全國,石油產品,329305.28
1982-02-01,71年02月,nation_total,全國,煉油氣,0.0
1982-02-01,71年02月,nation_total,全國,液化石油氣,0.0
1982-02-01,71年02月,nation_total,全國,柴油,1568.16
1982-02-01,71年02月,nation_total,全國,燃料油,327737.12
1982-02-01,71年02月,nation_total,全國,石油焦,0.0
1982-02-01,71年02月,nation_total,全國,其他石油產品,0.0
1982-02-01,71年02月,nation_total,全國,天然氣,0.0
1982-02-01,71年02月,nation_total,全國,自產天然氣,0.0
1982-02-01,71年02月,nation_total,全國,進口液化天然氣,0.0
1982-02-01,71年02月,nation_total,全國,生質能及廢棄物,0.0
1982-02-01,71年02月,nation_total,全國,生質能,0.0
1982-02-01,71年02月,nation_total,全國,固態生質能,0.0
1982-02-01,71年02月,nation_total,全國,氣態生質能,0.0
1982-02-01,71年02月,nation_total,全國,廢棄物,0.0
1982-02-01,71年02月,generation_companies,發電業,總計,400267.981
1982-02-01,71年02月,generation_companies,發電業,煤及煤產品,70962.701
1982-02-01,71年02月,generation_companies,發電業,煙煤-燃料煤,70962.701
