station_name,station_id,dose_rate_uSv_per_hr,timestamp_raw,longitude,latitude,timestamp
放射試驗室旁,HPIC115,0.062,20251118T212916,121.5916,25.2881,2025-11-18 21:29:16
生水池前站,HPIC117,0.061,20251118T212944,121.5809,25.2943,2025-11-18 21:29:44
生水池後站,HPIC118,0.069,20251118T212835,121.583,25.2833,2025-11-18 21:28:35
乾華民宅,HPIC116,0.06,20251118T212910,121.5844,25.2796,2025-11-18 21:29:10
茂林社區,HPIC119,0.067,20251118T212921,121.5911,25.2702,2025-11-18 21:29:21
金美國小,HPIC109,0.067,20251118T212914,121.6368,25.2209,2025-11-18 21:29:14
萬里國小,HPIC110,0.064,20251118T212937,121.689,25.1754,2025-11-18 21:29:37
二廠大修宿舍,HPIC201,0.053,20251118T192507,121.6571,25.2075,2025-11-18 19:25:07
入水口,HPIC205,0.059,20251118T212908,121.6761,25.2032,2025-11-18 21:29:08
油槽,HPIC206,0.063,20251118T212935,121.6558,25.1997,2025-11-18 21:29:35
保警中隊部,HPIC207,0.063,20251118T212852,121.6726,25.1997,2025-11-18 21:28:52
仁和宮,HPIC208,0.064,20251118T212854,121.6602,25.1952,2025-11-18 21:28:54
金美國小,HPIC209,0.067,20251118T212914,121.6368,25.2209,2025-11-18 21:29:14
萬里國小,HPIC210,0.064,20251118T212937,121.689,25.1754,2025-11-18 21:29:37
宿舍區,HPIC305,0.054,20251118T212847,120.7527,21.9678,2025-11-18 21:28:47
核三工作隊,HPIC308,0.061,20251118T212941,120.7557,21.9655,2025-11-18 21:29:41
1號風力發電機旁(舊墓地),HPIC303,0.055,20251118T212754,120.7447,21.9573,2025-11-18 21:27:54
3號風力發電機旁(大光分隊旁),HPIC302,0.045,20251118T212925,120.7443,21.9526,2025-11-18 21:29:25
入水口,HPIC307,0.046,20251118T212609,120.7584,21.958,2025-11-18 21:26:09
大門口,HPIC501,0.048,20251118T212914,121.5907,22.0033,2025-11-18 21:29:14
後門口,HPIC502,0.05,20251118T212823,121.5938,22.0069,2025-11-18 21:28:23
行政大樓後側,HPIC503,0.054,20251118T212936,121.5907,22.0041,2025-11-18 21:29:36
石門分駐所監測站,s101,0.066,20251118T212919,121.567377,25.290809,2025-11-18 21:29:19
北觀處監測站,s102,0.046,20251118T212946,121.519248,25.283192,2025-11-18 21:29:46
橫山國小監測站,s103,0.049,20251118T212918,121.530037,25.258705,2025-11-18 21:29:18
兩湖里監測站,s104,0.069,20251118T213000,121.593427,25.229414,2025-11-18 21:30:00
富基里監測站,s105,0.07,20251118T212927,121.540665,25.289035,2025-11-18 21:29:27
六三社區監測站,s106,0.08,20251118T212955,121.620731,25.229823,2025-11-18 21:29:55
萬壽社區監測站,s107,0.048,20251118T212926,121.632662,25.240017,2025-11-18 21:29:26
武崙國小監測站,s201,0.049,20251118T212918,121.70614,25.138989,2025-11-18 21:29:18
隆聖國小監測站,s202,0.068,20251118T213003,121.69427,25.15653,2025-11-18 21:30:03
中和國小監測站,s203,0.07,20251118T212919,121.720511,25.14676,2025-11-18 21:29:19
崁腳里監測站,s204,0.074,20251118T213003,121.649778,25.160058,2025-11-18 21:30:03
友二里監測站,s205,0.084,20251118T212925,121.665573,25.10803,2025-11-18 21:29:25
重光派出所監測站,s206,0.069,20251118T212912,121.603867,25.216296,2025-11-18 21:29:12
大坪國小監測站,s207,0.07,20251118T212956,121.638457,25.167144,2025-11-18 21:29:56
墾丁派出所監測站,s301,0.049,20251118T212850,120.799816,21.944787,2025-11-18 21:28:50
永港派出所監測站,s302,0.066,20251118T212919,120.808319,22.006257,2025-11-18 21:29:19
僑勇國小監測站,s303,0.07,20251118T212928,120.74391,22.008862,2025-11-18 21:29:28
仁壽派出所監測站,s304,0.07,20251118T212919,120.737739,22.026955,2025-11-18 21:29:19
四溝里監測站,s305,0.039,20251118T212944,120.723551,22.007329,2025-11-18 21:29:44
泉南宮監測站,s306,0.063,20251118T212910,120.732042,21.928545,2025-11-18 21:29:10
墾丁消防隊監測站,s307,0.068,20251118T213003,120.823401,21.934556,2025-11-18 21:30:03
朗島社區,s501,0.023,20251118T212942,121.526025,22.077631,2025-11-18 21:29:42
椰油社區,s505,0.033,20251118T212928,121.512262,22.049646,2025-11-18 21:29:28
漁人社區,s504,0.036,20251118T212900,121.53594,22.027905,2025-11-18 21:29:00
紅頭社區,s506,0.034,20251118T212853,121.55474,22.024848,2025-11-18 21:28:53
東清社區,s503,0.025,20251118T212933,121.564962,22.057301,2025-11-18 21:29:33
野銀社區,s502,0.029,20251118T212920,121.566409,22.038982,2025-11-18 21:29:20
白砂路下泉路口,t26101,0.07,20250911T161952,120.731183,21.933431,2025-09-11 16:19:52
貓鼻頭公園,t26102,0.064,20250911T122954,120.736313,21.924311,2025-09-11 12:29:54
