roc_year,capacity_factor_pct,year,generation_gwh,co2_reduction_tonnes
97,89.01,2008,39260.0,32940000
98,92.17,2009,39981.0,33540000
99,92.32,2010,40029.0,33580000
100,93.06,2011,40522.0,34000000
101,89.93,2012,38887.0,32630000
102,91.77,2013,40079.0,33630000
103,93.75,2014,40801.0,34230000
104,76.85,2015,35143.0,29480000
105,67.83,2016,30461.0,25560000
106,46.79,2017,21560.0,18090000
107,54.52,2018,26656.0,22360000
108,95.29,2019,31147.000000000004,26130000
109,92.5,2020,30342.0,25460000
110,82.21,2021,26818.0,22500000
111,93.98,2022,22917.0,19230000
112,91.95,2023,17154.0,14390000
113,94.18,2024,11727.0,9840000
