date,net_peak_capacity_mw,peak_load_mw,reserve_capacity_mw,reserve_margin_pct,industrial_consumption_gwh,residential_consumption_gwh
2024-01-01,30758.0,25328.0,3900.0,15.21,302.784,218.531
2024-01-02,32800.0,28703.0,4517.0,17.08,341.879,246.747
2024-01-03,34208.0,28996.0,5601.0,18.99,354.601,255.928
2024-01-04,33596.0,29337.0,5303.0,17.91,357.191,257.797
2024-01-05,33930.0,28946.0,3804.0,12.64,355.554,256.617
2024-01-06,31517.0,26679.0,4290.0,14.59,329.769,238.007
2024-01-07,31546.0,26013.0,4764.0,17.16,312.634,225.64
2024-01-08,34063.0,28967.0,3413.0,12.92,347.255,250.627
2024-01-09,33598.0,29453.0,3745.0,12.69,358.707,258.891
2024-01-10,33384.0,28815.0,3473.0,11.63,355.406,256.51
2024-01-11,34049.0,29066.0,3706.0,12.57,356.825,257.533
2024-01-12,36439.0,28766.0,2422.0,8.11,356.795,257.512
2024-01-13,32619.0,26302.0,4198.0,14.07,326.178,235.414
2024-01-14,30827.0,26117.0,4032.0,14.73,317.081,228.849
2024-01-15,36021.0,28987.0,5062.0,19.5,348.059,251.206
2024-01-16,33937.0,29195.0,4791.0,16.71,355.143,256.319
2024-01-17,32731.0,29755.0,4578.0,15.97,360.782,260.389
2024-01-18,34707.0,29746.0,5706.0,20.34,363.077,262.045
2024-01-19,38732.0,29676.0,6840.0,26.7,359.954,259.792
2024-01-20,32054.0,27092.0,5936.0,24.99,334.899,241.709
2024-01-21,32037.0,25940.0,4914.0,22.09,313.826,226.5
2024-01-22,33133.0,29329.0,5319.0,24.65,350.068,252.657
2024-01-23,33139.0,30073.0,6665.0,31.06,366.393,264.439
2024-01-24,32989.0,30075.0,4643.0,20.44,368.585,266.022
2024-01-25,33455.0,30316.0,3771.0,16.08,372.415,268.785
2024-01-26,34091.0,29048.0,5318.0,22.21,363.306,262.211
2024-01-27,31803.0,27573.0,4815.0,19.53,340.915,246.05
2024-01-28,31186.0,27182.0,4075.0,15.98,324.008,233.848
2024-01-29,32559.0,29009.0,4211.0,16.28,352.382,254.326
2024-01-30,34793.0,29511.0,5566.0,19.77,359.851,259.717
2024-01-31,34205.0,29831.0,4350.0,15.26,362.233,261.436
2024-02-01,34989.0,29753.0,5236.0,17.6,354.82,268.937
2024-02-02,36118.0,29413.0,6705.0,22.8,353.157,267.677
2024-02-03,31684.0,27299.0,4385.0,16.07,331.531,251.286
2024-02-04,30121.0,26852.0,3269.0,12.17,318.374,241.313
2024-02-05,35698.0,28974.0,6724.0,23.21,342.415,259.535
2024-02-06,36713.0,28322.0,8391.0,29.63,341.623,258.935
2024-02-07,36438.0,26865.0,9573.0,35.63,325.371,246.616
2024-02-08,29109.0,24214.0,4895.0,20.22,297.774,225.699
2024-02-09,27361.0,23055.0,4306.0,18.68,280.618,212.696
2024-02-10,26422.0,22760.0,3662.0,16.09,270.012,204.657
2024-02-11,27922.0,22346.0,5576.0,24.95,265.887,201.531
2024-02-12,26364.0,22912.0,3452.0,15.06,271.149,205.519
2024-02-13,27579.0,23649.0,3930.0,16.62,279.302,211.698
2024-02-14,28865.0,24648.0,4217.0,17.11,289.874,219.711
2024-02-15,36625.0,28264.0,8361.0,29.58,326.951,247.814
2024-02-16,34486.0,28024.0,6462.0,23.06,336.417,254.989
2024-02-17,30318.0,27714.0,2604.0,9.4,334.995,253.911
2024-02-18,30355.0,26354.0,4001.0,15.18,313.459,237.587
2024-02-19,37977.0,30570.0,7407.0,24.23,350.647,265.775
2024-02-20,36830.0,31292.0,5538.0,17.7,365.531,277.056
2024-02-21,37902.0,31444.0,6458.0,20.54,366.412,277.724
2024-02-22,37999.0,30961.0,7038.0,22.73,363.053,275.177
2024-02-23,34901.0,29701.0,5200.0,17.51,352.218,266.965
2024-02-24,30624.0,26641.0,3983.0,14.95,325.438,246.668
2024-02-25,30781.0,26144.0,4637.0,17.74,310.848,235.608
2024-02-26,33251.0,29289.0,3962.0,13.53,344.687,261.257
2024-02-27,36579.0,29342.0,7237.0,24.66,353.506,267.941
2024-02-28,32404.0,27800.0,4604.0,16.56,334.988,253.905
2024-02-29,36652.0,29694.0,6958.0,23.43,352.097,266.873
2024-03-01,35816.0,29169.0,6647.0,22.79,354.291,242.905
2024-03-02,31079.0,27531.0,3548.0,12.89,334.28,229.186
2024-03-03,29693.0,26865.0,2828.0,10.53,318.498,218.366
2024-03-04,35632.0,30010.0,5622.0,18.73,351.721,241.143
2024-03-05,37279.0,31128.0,6151.0,19.76,366.986,251.609
2024-03-06,39151.0,30567.0,8584.0,28.08,365.962,250.907
2024-03-07,37043.0,29609.0,7434.0,25.11,358.458,245.762
2024-03-08,37609.0,29191.0,8418.0,28.84,352.366,241.586
2024-03-09,32058.0,26958.0,5100.0,18.92,331.483,227.267
2024-03-10,30204.0,26727.0,3477.0,13.01,318.509,218.372
