roc_year,month,energy_mwh,year,is_annual_total,period
95,1,1,2006,True,2006-01-01
96,1,41,2007,True,2007-01-01
97,1,280,2008,True,2008-01-01
98,1,1080,2009,True,2009-01-01
99,1,62,2010,False,2010-01-01
99,2,104,2010,False,2010-02-01
99,3,117,2010,False,2010-03-01
99,4,188,2010,False,2010-04-01
99,5,142,2010,False,2010-05-01
99,6,208,2010,False,2010-06-01
99,7,195,2010,False,2010-07-01
99,8,305,2010,False,2010-08-01
99,9,203,2010,False,2010-09-01
99,10,362,2010,False,2010-10-01
99,11,183,2010,False,2010-11-01
99,12,248,2010,False,2010-12-01
100,1,332,2011,False,2011-01-01
100,2,373,2011,False,2011-02-01
100,3,679,2011,False,2011-03-01
100,4,590,2011,False,2011-04-01
100,5,910,2011,False,2011-05-01
100,6,1915,2011,False,2011-06-01
100,7,3178,2011,False,2011-07-01
100,8,4068,2011,False,2011-08-01
100,9,8243,2011,False,2011-09-01
100,10,3137,2011,False,2011-10-01
100,11,3092,2011,False,2011-11-01
100,12,6080,2011,False,2011-12-01
101,1,4788,2012,False,2012-01-01
101,2,7461,2012,False,2012-02-01
101,3,9507,2012,False,2012-03-01
101,4,9438,2012,False,2012-04-01
101,5,11240,2012,False,2012-05-01
101,6,13422,2012,False,2012-06-01
101,7,10666,2012,False,2012-07-01
101,8,10385,2012,False,2012-08-01
101,9,12494,2012,False,2012-09-01
101,10,13568,2012,False,2012-10-01
101,11,13286,2012,False,2012-11-01
101,12,10841,2012,False,2012-12-01
102,1,11584,2013,False,2013-01-01
102,2,12432,2013,False,2013-02-01
102,3,17721,2013,False,2013-03-01
102,4,16441,2013,False,2013-04-01
102,5,23674,2013,False,2013-05-01
102,6,22264,2013,False,2013-06-01
102,7,31486,2013,False,2013-07-01
102,8,26282,2013,False,2013-08-01
102,9,28149,2013,False,2013-09-01
102,10,31696,2013,False,2013-10-01
102,11,34868,2013,False,2013-11-01
102,12,27615,2013,False,2013-12-01
103,1,26722,2014,False,2014-01-01
103,2,26776,2014,False,2014-02-01
103,3,33079,2014,False,2014-03-01
103,4,40171,2014,False,2014-04-01
103,5,40042,2014,False,2014-05-01
103,6,46725,2014,False,2014-06-01
103,7,45906,2014,False,2014-07-01
103,8,46420,2014,False,2014-08-01
103,9,50742,2014,False,2014-09-01
103,10,51192,2014,False,2014-10-01
103,11,43215,2014,False,2014-11-01
103,12,38627,2014,False,2014-12-01
104,1,42206,2015,False,2015-01-01
104,2,42357,2015,False,2015-02-01
104,3,54141,2015,False,2015-03-01
