date,reserve_capacity_mw,reserve_margin_pct
2022-01-01,3345.0,13.04
2022-01-02,3640.0,14.05
2022-01-03,3184.0,10.62
2022-01-04,2620.0,8.64
2022-01-05,2512.0,8.25
2022-01-06,3209.0,10.6
2022-01-07,3010.0,10.05
2022-01-08,3147.0,11.5
2022-01-09,3158.0,11.89
2022-01-10,2491.0,8.25
2022-01-11,2413.0,7.92
2022-01-12,2220.0,7.35
2022-01-13,2475.0,8.2
2022-01-14,2681.0,8.98
2022-01-15,2293.0,8.25
2022-01-16,3429.0,12.8
2022-01-17,2715.0,8.88
2022-01-18,2425.0,7.92
2022-01-19,3002.0,9.9
2022-01-20,2660.0,8.69
2022-01-21,2179.0,7.09
2022-01-22,3032.0,10.28
2022-01-23,2301.0,8.47
2022-01-24,3166.0,10.45
2022-01-25,2963.0,9.87
2022-01-26,2549.0,8.48
2022-01-27,3463.0,11.78
2022-01-28,4700.0,17.0
2022-01-29,3346.0,12.76
2022-01-30,3087.0,12.3
2022-01-31,3111.0,13.46
2022-02-01,4421.0,19.32
2022-02-02,3232.0,14.07
2022-02-03,3135.0,13.09
2022-02-04,3577.0,14.49
2022-02-05,2930.0,11.57
2022-02-06,3108.0,12.01
2022-02-07,2986.0,10.04
2022-02-08,3395.0,11.32
2022-02-09,2834.0,9.36
2022-02-10,2972.0,9.78
2022-02-11,3343.0,11.08
2022-02-12,2921.0,10.43
2022-02-13,3757.0,13.9
2022-02-14,2966.0,9.7
2022-02-15,2876.0,9.4
2022-02-16,3665.0,12.02
2022-02-17,3043.0,9.88
2022-02-18,3184.0,10.4
2022-02-19,2989.0,10.53
2022-02-20,2972.0,10.45
2022-02-21,2006.0,6.4
2022-02-22,2603.0,8.4
2022-02-23,2567.0,8.2
2022-02-24,2511.0,8.07
2022-02-25,3406.0,11.31
2022-02-26,3437.0,12.35
2022-02-27,3729.0,14.24
2022-02-28,4127.0,15.1
2022-03-01,2510.0,8.23
2022-03-02,3135.0,10.22
2022-03-03,7127.0,24.61
2022-03-04,3261.0,10.79
2022-03-05,4338.0,15.83
2022-03-06,4633.0,17.57
2022-03-07,2527.0,8.5
2022-03-08,3290.0,10.99
2022-03-09,2550.0,8.42
2022-03-10,3088.0,10.18
2022-03-11,3148.0,10.37
2022-03-12,3438.0,12.32
2022-03-13,2839.0,10.36
2022-03-14,2659.0,8.5
2022-03-15,2986.0,9.37
2022-03-16,2858.0,8.94
2022-03-17,2712.0,8.44
2022-03-18,4424.0,14.03
2022-03-19,2675.0,9.44
2022-03-20,3050.0,11.06
2022-03-21,2751.0,8.62
2022-03-22,3735.0,11.88
2022-03-23,3717.0,12.2
2022-03-24,2382.0,7.68
2022-03-25,3394.0,10.68
2022-03-26,3277.0,11.25
2022-03-27,3414.0,12.69
2022-03-28,3069.0,10.01
2022-03-29,2777.0,8.92
2022-03-30,4337.0,13.65
2022-03-31,4181.0,13.15
2022-04-25,2515.0,7.21
2022-04-26,3188.0,8.88
2022-04-22,2602.0,7.7
2022-04-27,2703.0,7.51
2022-04-28,3008.0,8.41
2022-04-12,4475.0,13.32
2022-04-21,2514.0,7.72
2022-04-13,4280.0,12.63
2022-04-20,3247.0,10.24
2022-04-18,2746.0,8.74
2022-04-11,3497.0,10.57
2022-04-15,3674.0,11.63
2022-04-08,3951.0,12.59
2022-04-02,2438.0,8.78
2022-04-19,2827.0,9.06
2022-04-06,3719.0,12.09
2022-04-29,3596.0,9.89
2022-04-14,5107.0,15.61
2022-04-24,2864.0,9.63
2022-04-07,2975.0,9.65
2022-04-23,3004.0,9.94
2022-04-04,3083.0,11.67
2022-04-05,3161.0,11.68
2022-04-17,3304.0,12.22
2022-04-09,3738.0,12.95
2022-04-16,3758.0,13.5
